,communication_style,user_type,text,clf_text,edited_text
0,Criticism,disfunctional_conversation_parner_1,What’s wrong with you?,"Category: criticism
Text: What’s wrong with you?","Category: criticism
Functional Text: Let's talk about what's bothering you."
1,Criticism,disfunctional_conversation_parner_1,Why would you do that to me?,"Category: criticism
Text: Why would you do that to me?","Category: criticism
Functional Text: Let's talk about why that action was hurtful to me."
2,Criticism,disfunctional_conversation_parner_1,You never listen to me,"Category: criticism
Text: You never listen to me","Category: criticism
Functional Text: Let's work on improving our communication so that we can better understand each other."
3,Criticism,disfunctional_conversation_parner_1,You always treat me like that.,"Category: criticism
Text: You always treat me like that.","Category: criticism
Functional Text: Let's discuss how we can improve our interactions and find a better way to communicate."
4,Criticism,disfunctional_conversation_parner_1,"""I can't believe you forgot to pick up the groceries again. It's like you never listen to me or care about what I need.""","Category: criticism
Text: I can't believe you forgot to pick up the groceries again. It's like you never listen to me or care about what I need.","Category: criticism
Functional Text: Let's work on better communication so we can meet each other's needs more effectively."
5,Criticism,disfunctional_conversation_parner_1,It's always excuses with you. You never take responsibility for anything. I'm tired of having to remind you of simple tasks all the time,"Category: criticism
Text: It's always excuses with you. You never take responsibility for anything.

Category: criticism
Text: I'm tired of having to remind you of simple tasks all the time.","Category: criticism
Functional Text: Let's work on taking ownership of our actions and responsibilities.

Category: criticism
Functional Text: It would be helpful if we could improve on remembering and completing tasks without constant reminders."
6,Criticism,disfunctional_conversation_parner_1,You're just not trying hard enough,"Category: criticism
Text: You're just not trying hard enough","Category: criticism
Functional Text: Let's work on putting in more effort to achieve our goals."
7,Criticism,disfunctional_conversation_parner_1,You're too messy,"Category: criticism
Text: You're too messy","Category: criticism
Functional Text: Let's work on organizing things better."
8,Criticism,disfunctional_conversation_parner_1,You're too focused on yourself.,"Category: criticism
Text: You're too focused on yourself.","Category: criticism
Functional Text: Let's try to consider others' perspectives more."
9,Criticism,disfunctional_conversation_parner_1,You always ruin things,"Category: criticism
Text: You always ruin things","Category: criticism
Functional Text: Let's discuss how we can improve our outcomes together."
10,Defensiveness,disfunctional_conversation_parner_1,I feel angry when you don’t call me when you say you will,"Category: criticism
Text: I feel angry when you don’t call me when you say you will","Category: criticism
Functional Text: It upsets me when you don't follow through on calling me as promised."
11,Defensiveness,disfunctional_conversation_parner_1,You're making excuses,"Category: criticism
Text: You're making excuses","Category: criticism
Functional Text: Let's focus on finding solutions instead of making excuses."
12,Defensiveness,disfunctional_conversation_parner_1,You don't understand,"Category: Other
Text: You don't understand","Category: Other
Functional Text: Let me clarify for you"
13,Defensiveness,disfunctional_conversation_parner_1,You're overreacting,"Category: criticism
Text: You're overreacting","Category: criticism
Functional Text: Let's try to see things from a different perspective."
14,Defensiveness,disfunctional_conversation_parner_1,You never call me when you say you will. You don’t care about me!,"Category: criticism
Text: You never call me when you say you will. 

Category: contempt
Text: You don’t care about me!","Category: criticism
Functional Text: Let's work on improving our communication. 

Category: contempt
Functional Text: It seems like you're not considering my feelings."
15,Defensiveness,disfunctional_conversation_parner_1,That's not what I said,"Category: Other
Text: That's not what I said","Category: Other
Functional Text: Let me clarify what I actually said."
16,Defensiveness,disfunctional_conversation_parner_1,It's your fault.,"Category: criticism
Text: It's your fault.","Category: criticism
Functional Text: Let's discuss what went wrong and find a solution together."
17,Defensiveness,disfunctional_conversation_parner_1,"""I can't believe you",This text is incomplete. Please provide the full text that you would like me to categorize.,"I'm here to help! Please provide the text you would like categorized, and I'll assist you in transforming it into a more functional format."
18,Defensiveness,disfunctional_conversation_parner_1,You're taking it the wrong way,"Category: defensiveness
Text: You're taking it the wrong way","Category: defensiveness
Functional Text: Let's clarify what I meant to avoid any misunderstandings."
19,Defensiveness,disfunctional_conversation_parner_1,You're being unreasonable.,"Category: criticism
Text: You're being unreasonable.","Category: criticism
Functional Text: Let's try to find a more reasonable approach to this situation."
