communication_style,disfunctional_conversation_parner_1,disfunctional_conversation_partner_2,functional_conversation_partner_1,functional_conversation_partner_2,Unclear
Criticism,What’s wrong with you?,What's wrong with me? What's wrong with you for even asking that? Can't you see I'm fine? Why are you always trying to start something,"Hey, is everything okay with you","I appreciate your concern, I'm feeling alright. Thank you for checking in,","I appreciate your concern, can't you see I am fine? why are you always trying to start something. But anyway thanks for checking in. "
Criticism,Why would you do that to me?,Why would I do that to you? Are you seriously blaming me for everything? Maybe you should take a look at your own actions before pointing fingers at me!,"Hey, why'd you do that","I understand your feelings, and I'm sorry for causing you pain. Let me explain the reasons behind my actions so we can better understand each other.","I understand your feelings. Maybe you should take a look at your own actions before pointing fingers at me, but I'm sorry for causing you pain"
Criticism,You never listen to me,"Oh, here we go again with the same old complaint. You're the one who never listens! It's always about what I'm doing wrong",I've been feeling like my voice isn't always heard. Can we make sure we're both listening to each other?,I understand how important it is for both of us. Let's definitely work on actively listening to each other.,I understand how important it is for both of us. You're the one who never listens! Let's definitely work on actively listening to each other.
Criticism,You always treat me like that.,"Oh, here we go again with your constant complaints. I don't always treat you like that, you're just exaggerating as usual. Maybe you should take a look at how you treat me instead of always pointing fingers at me",I've been feeling consistently uncomfortable with the way our interactions have been lately.,"
I hear you saying that. Can you provide specific examples so we can work together to improve our interactions?","I hear you saying that. I don't always treat you like that, you're just exaggerating as usual. Can you provide specific examples so we can work together to improve our interactions?"
Criticism,"""I can't believe you forgot to pick up the groceries again. It's like you never listen to me or care about what I need.""","Oh did I forgot groceries again?Oh, you think I don't listen or care? That's an interesting perspective! ","Hey, I noticed we forgot to pick up the groceries again. I understand things can get busy, but it's important to me that we stay organized with household tasks. ","I'm sorry, I just got caught up with work. It's not like I do this on purpose.","I'm sorry, I just got caught up with work. Oh you think I don't listen or care?. It's not like I do this on purpose."
Criticism,It's always excuses with you. You never take responsibility for anything. I'm tired of having to remind you of simple tasks all the time,"Well, maybe if you weren't so controlling and nagging, I wouldn't forget things.","I understand work can be demanding, but it's becoming a pattern for us to miss important tasks like grocery shopping. It's challenging for me to keep reminding you, and I'm feeling overwhelmed. Can we brainstorm together on how we can better manage our responsibilities","Absolutely, I hear you. I appreciate your patience in dealing with this issue. Let's sit down together and come up with a plan to ensure we stay on top of our responsibilities more effectively. Maybe we can create a shared calendar or task list to help us keep track of important tasks like grocery shopping and other household responsibilities.","I appreciate your patience in dealing with this issue. Well, maybe if you weren't so controlling and nagging, I wouldn't forget things. Let's sit together and come up with plan"
Criticism,You're just not trying hard enough,"I'm sorry, but that's just your perspective","
I value your efforts, but I sense there might be some areas where we could adjust our approach to achieve our goals more effectively","Thank you for recognizing my efforts ,I agree that there may be room for improvement in our approach to better align with our goals","Thank you for recognizing my afforts, but I disagree that there is a room for improvement"
Criticism,You're too messy,"Well, maybe if you were more organized, it wouldn't bother you so much",ve noticed that things seem a bit disorganized lately. Can we talk about finding ways to keep our space neat and tidy together?,"Of course, I appreciate you bringing this up. Let's schedule some time to discuss","I appreciate you bringing this up, howere if you were more organized it would not bother you so much. Let's schedule some time to discuss"
Criticism,You're too focused on yourself.,"
Well, maybe if you paid more attention to my needs once in a while, I wouldn't have to focus so much on myself","I've noticed that lately, our conversations have been more centered around your experiences and needs. Can we find a way to balance the focus on both of us more evenly",I appreciate your observation and willingness to address this. Let's work together to ensure our conversations allow space for both of us,"I appreciate your observation and willingness to address this, but if you paid more attention to my needs, I would not have to focus so much on myself. Can we find a wya to balance the foucs on both of us more evenly?"
Criticism,You always ruin things,"Well, maybe if you didn't have such high expectations, things wouldn't always end up ruined.",I've noticed that sometimes our plans don't go as expected. Can we discuss how we can work together to improve our outcomes in the future,I agree that it's important to address this. Let's have a conversation to identify areas where we can refine our planning process,"I agree that it's important to address this. Well, maybe if you didn't have such high expectations, things wouldn't always end up ruined. Let's have a conversation to identify areas where we can refine our planning process"
